idcliente,evasao,genero,idoso,parceiro,dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_de_internet,antivirus,backup,protecao__de_dipositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,total_mensal,gasto_total,contas_diarias,meses_contrato_trimestre
0141-yeays,0,Mulher,1,0,0,27,1,1,fiber optic,0,1,1,0,0,0,month-to-month,1,bank transfer (automatic),86.45,2401.05,2.881666666666667,10º Trimestre
0142-gvysn,0,Homem,0,0,0,26,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,1,electronic check,20.3,511.25,0.6766666666666666,9º Trimestre
0147-eswwr,0,Mulher,1,1,0,39,1,1,fiber optic,0,0,0,1,1,1,month-to-month,1,electronic check,101.25,3949.15,3.375,14º Trimestre
0148-dcdos,1,Homem,0,0,0,25,1,1,fiber optic,0,0,0,0,1,1,month-to-month,1,bank transfer (automatic),94.7,2362.1,3.1566666666666667,9º Trimestre
0151-ontov,1,Mulher,0,0,0,1,1,0,fiber optic,0,0,0,0,0,0,month-to-month,0,mailed check,70.9,70.9,2.3633333333333337,1º Trimestre
0156-fvpta,1,Homem,0,1,0,22,1,0,dsl,1,0,0,1,0,0,month-to-month,1,electronic check,54.2,1152.7,1.8066666666666669,8º Trimestre
0164-apgrb,0,Mulher,0,0,0,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,electronic check,114.9,8496.7,3.83,25º Trimestre
0164-xairp,0,Mulher,0,0,0,24,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,1,bank transfer (automatic),19.55,470.2,0.6516666666666667,9º Trimestre
0168-xzkbb,0,Mulher,0,1,0,19,1,1,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,86.85,1564.4,2.895,7º Trimestre
0174-qrvvy,0,Homem,0,1,1,71,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,credit card (automatic),25.35,1847.55,0.8450000000000001,24º Trimestre
0177-pxbat,0,Homem,1,1,0,33,1,1,fiber optic,1,0,1,1,1,1,month-to-month,1,bank transfer (automatic),109.9,3694.7,3.6633333333333336,12º Trimestre
0178-ciikr,0,Mulher,0,0,0,3,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,19.95,58.0,0.6649999999999999,2º Trimestre
0178-szbho,0,Homem,0,1,1,47,1,1,fiber optic,0,1,0,0,1,0,month-to-month,0,electronic check,87.2,4017.45,2.9066666666666667,16º Trimestre
0181-ritdd,0,Homem,0,1,1,62,1,0,fiber optic,1,1,1,1,1,1,two year,0,mailed check,108.15,6825.65,3.605,21º Trimestre
0186-caerr,0,Homem,0,0,0,71,1,1,fiber optic,1,1,1,1,1,1,one year,1,bank transfer (automatic),116.3,8309.55,3.8766666666666665,24º Trimestre
0187-qsxoe,0,Homem,1,1,0,7,1,0,fiber optic,0,0,0,0,1,1,month-to-month,1,electronic check,89.0,605.45,2.966666666666667,3º Trimestre
0187-wznab,0,Mulher,0,1,1,27,1,0,fiber optic,1,0,0,0,0,0,month-to-month,0,mailed check,74.4,1972.35,2.48,10º Trimestre
0188-gwfle,0,Homem,0,0,0,2,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,20.05,33.7,0.6683333333333333,1º Trimestre
0191-equuh,0,Mulher,0,0,1,25,0,0,dsl,1,0,0,1,0,0,two year,0,bank transfer (automatic),35.05,844.45,1.1683333333333332,9º Trimestre
0191-zhskz,0,Homem,1,0,0,30,1,0,dsl,1,1,0,0,1,1,month-to-month,1,electronic check,74.75,2111.3,2.4916666666666667,11º Trimestre
0193-eszxp,1,Mulher,1,1,0,58,1,0,fiber optic,1,1,0,1,1,1,one year,1,credit card (automatic),105.5,6205.5,3.5166666666666666,20º Trimestre
0195-iescp,1,Homem,0,1,0,10,1,1,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,85.25,855.3,2.841666666666667,4º Trimestre
0196-jtuqi,0,Mulher,0,0,0,9,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,credit card (automatic),75.2,633.85,2.506666666666667,4º Trimestre
0196-vulgz,1,Mulher,1,1,0,6,1,1,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,84.35,474.9,2.8116666666666665,3º Trimestre
0197-pnknk,0,Mulher,0,1,1,69,1,1,fiber optic,1,0,1,0,0,0,one year,0,bank transfer (automatic),84.45,5848.6,2.815,24º Trimestre
0201-mibol,0,Mulher,1,0,0,66,1,1,fiber optic,1,0,0,0,1,1,two year,1,bank transfer (automatic),102.4,6471.85,3.4133333333333336,23º Trimestre
0201-oamxr,1,Mulher,0,0,0,70,1,1,fiber optic,1,1,1,1,1,1,one year,0,credit card (automatic),115.55,8127.6,3.8516666666666666,24º Trimestre
0203-hhyij,1,Homem,0,0,0,25,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,0,bank transfer (automatic),25.3,676.35,0.8433333333333334,9º Trimestre
0206-oyvoc,0,Mulher,0,1,1,46,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,1,mailed check,19.25,864.2,0.6416666666666667,16º Trimestre
0206-tbwlc,0,Mulher,0,1,0,54,1,1,fiber optic,1,1,1,1,1,1,one year,1,mailed check,114.65,6049.5,3.8216666666666668,19º Trimestre
0207-mdknv,1,Mulher,0,0,0,15,1,0,fiber optic,1,0,1,1,1,1,month-to-month,0,electronic check,105.1,1582.75,3.503333333333333,6º Trimestre
0208-bpqej,0,Mulher,0,1,1,12,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,bank transfer (automatic),19.4,198.1,0.6466666666666666,5º Trimestre
0212-isbbf,0,Mulher,0,0,0,22,0,0,dsl,0,1,0,0,1,1,month-to-month,1,electronic check,50.35,1098.85,1.6783333333333335,8º Trimestre
0214-jhpfw,0,Mulher,0,1,0,70,0,0,dsl,0,1,1,1,1,1,two year,0,bank transfer (automatic),57.8,4039.3,1.9266666666666665,24º Trimestre
0215-bqkgs,0,Homem,0,0,0,30,1,0,fiber optic,1,1,1,0,0,0,month-to-month,1,credit card (automatic),84.3,2438.6,2.81,11º Trimestre
0218-qnvas,0,Homem,0,1,1,71,1,1,fiber optic,0,1,0,0,1,1,one year,0,bank transfer (automatic),100.55,7113.75,3.3516666666666666,24º Trimestre
0219-qaerp,0,Homem,0,1,0,30,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,0,credit card (automatic),19.8,576.65,0.66,11º Trimestre
0219-ytzue,1,Homem,0,1,1,4,1,1,fiber optic,0,1,1,0,0,0,month-to-month,1,bank transfer (automatic),84.8,371.9,2.8266666666666667,2º Trimestre
0220-ebgce,1,Homem,0,0,0,2,1,0,fiber optic,0,0,1,0,0,1,month-to-month,1,electronic check,85.85,167.3,2.8616666666666664,1º Trimestre
0221-nauxk,0,Homem,0,0,1,10,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,1,bank transfer (automatic),19.95,219.5,0.6649999999999999,4º Trimestre
0221-wmxnq,0,Homem,1,0,0,4,1,0,fiber optic,1,0,0,0,0,0,month-to-month,0,electronic check,75.35,273.4,2.5116666666666663,2º Trimestre
0222-cnvpt,0,Homem,1,0,0,52,0,0,dsl,1,0,0,0,1,1,month-to-month,1,credit card (automatic),48.8,2555.05,1.6266666666666665,18º Trimestre
0224-hjapt,1,Homem,0,0,0,5,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,47.15,223.15,1.5716666666666665,2º Trimestre
0224-nijlp,0,Homem,0,1,1,8,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,mailed check,20.15,165.5,0.6716666666666666,3º Trimestre
0224-rlwwd,0,Mulher,1,0,0,2,1,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,44.3,89.3,1.4766666666666666,1º Trimestre
0225-zorzp,0,Homem,0,0,0,3,1,0,fiber optic,0,1,0,0,0,1,month-to-month,0,electronic check,84.3,235.05,2.81,2º Trimestre
0228-mauwc,0,Homem,0,0,0,19,1,1,dsl,0,0,1,1,0,0,month-to-month,0,electronic check,59.55,1144.6,1.9849999999999999,7º Trimestre
0229-lfjaf,0,Homem,0,0,0,72,1,1,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),69.65,4908.25,2.3216666666666668,25º Trimestre
0230-ubypq,0,Homem,1,1,0,63,0,0,dsl,1,0,0,1,0,0,one year,0,bank transfer (automatic),36.1,2298.9,1.2033333333333334,22º Trimestre
0230-wequw,0,Homem,0,1,0,66,0,0,dsl,1,1,1,1,1,0,two year,1,bank transfer (automatic),56.6,3789.2,1.8866666666666667,23º Trimestre
0231-lxvap,1,Homem,0,0,0,1,1,0,fiber optic,0,0,0,1,0,0,month-to-month,1,electronic check,75.9,75.9,2.5300000000000002,1º Trimestre
0233-fthav,0,Mulher,0,0,0,60,1,1,fiber optic,0,0,1,0,0,0,one year,1,bank transfer (automatic),79.2,4765.0,2.64,21º Trimestre
0234-tevtt,0,Mulher,0,1,1,48,0,0,dsl,1,0,1,0,0,1,one year,0,credit card (automatic),45.0,2196.3,1.5,17º Trimestre
0235-kgslc,1,Mulher,0,0,0,1,1,0,fiber optic,0,0,1,0,1,0,month-to-month,1,credit card (automatic),85.55,85.55,2.8516666666666666,1º Trimestre
0236-hfwsv,1,Homem,0,0,0,15,1,1,fiber optic,0,0,0,0,1,1,month-to-month,1,electronic check,93.35,1444.65,3.1116666666666664,6º Trimestre
0237-yfutl,0,Mulher,0,1,0,50,1,1,fiber optic,1,1,0,1,1,1,month-to-month,1,bank transfer (automatic),109.65,5405.8,3.6550000000000002,17º Trimestre
0238-whbiq,0,Homem,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two year,0,credit card (automatic),89.7,6339.3,2.99,25º Trimestre
0239-oxexl,0,Mulher,0,0,0,46,1,1,fiber optic,1,1,0,0,0,0,month-to-month,0,mailed check,84.25,3847.6,2.808333333333333,16º Trimestre
0244-lgnfy,0,Mulher,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two year,0,bank transfer (automatic),92.65,6733.0,3.0883333333333334,25º Trimestre
0247-sluji,0,Homem,0,1,1,1,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,19.7,19.7,0.6566666666666666,1º Trimestre
0248-ipdfw,0,Mulher,0,0,0,1,1,1,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,50.1,50.1,1.6700000000000002,1º Trimestre
0248-pghbz,0,Mulher,1,0,0,67,1,0,fiber optic,1,1,0,1,1,0,two year,1,bank transfer (automatic),92.45,6140.85,3.0816666666666666,23º Trimestre
0253-zteob,0,Mulher,0,1,1,48,1,1,dsl,0,1,0,1,1,1,two year,0,electronic check,79.65,3870.3,2.6550000000000002,17º Trimestre
0254-fnmci,0,Mulher,0,0,0,72,1,0,fiber optic,1,1,1,1,1,1,two year,1,electronic check,109.9,7624.2,3.6633333333333336,25º Trimestre
0254-kcjgt,0,Homem,0,1,0,52,1,1,dsl,1,1,1,1,0,1,one year,1,credit card (automatic),81.4,4354.45,2.7133333333333334,18º Trimestre
0254-wwrkd,0,Mulher,0,1,1,67,1,0,dsl,0,1,0,0,0,0,one year,0,credit card (automatic),50.55,3431.75,1.6849999999999998,23º Trimestre
0256-lthvj,1,Mulher,0,1,1,28,1,0,fiber optic,0,0,0,0,0,1,month-to-month,1,electronic check,81.05,2227.1,2.7016666666666667,10º Trimestre
0257-kxzgu,0,Mulher,0,1,1,32,1,1,dsl,0,1,1,0,0,0,month-to-month,0,bank transfer (automatic),62.45,2045.55,2.0816666666666666,11º Trimestre
0257-zesqc,1,Mulher,1,1,0,27,1,0,fiber optic,1,0,0,0,0,0,month-to-month,1,bank transfer (automatic),75.2,1929.35,2.506666666666667,10º Trimestre
0258-nokbl,0,Homem,0,0,0,3,1,0,fiber optic,0,1,1,0,0,1,month-to-month,0,electronic check,90.4,268.45,3.0133333333333336,2º Trimestre
0259-gbzsh,1,Homem,0,0,0,2,1,1,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,85.65,181.5,2.855,1º Trimestre
0260-zdlgk,1,Mulher,0,0,1,9,1,0,dsl,0,0,1,1,1,1,month-to-month,1,mailed check,72.9,651.4,2.43,4º Trimestre
0263-fjtqo,0,Homem,0,1,1,50,1,1,dsl,1,0,0,1,1,0,two year,1,credit card (automatic),70.5,3486.65,2.35,17º Trimestre
